Wall time,Step,Value
1643666869.6867077,5150000,-31.06768035888672
1643667038.3808255,5200000,-22.2652645111084
1643667209.5686405,5250000,-24.492525100708008
1643667373.070484,5300000,-21.741872787475586
1643667542.7730575,5350000,-20.42913818359375
1643667709.3429754,5400000,-19.498504638671875
1643667876.4722683,5450000,-18.95439338684082
1643668046.6787324,5500000,-22.952632904052734
1643668212.8127613,5550000,-22.126874923706055
1643668382.2102032,5600000,-22.4892578125
1643668543.1393652,5650000,-25.568439483642578
1643668709.9800086,5700000,-20.652267456054688
1643668874.7229922,5750000,-21.476152420043945
1643669040.6748738,5800000,-22.53189468383789
1643669213.6503692,5850000,-23.332075119018555
1643669383.724893,5900000,-25.78650665283203
1643669546.8811383,5950000,-25.717317581176758
1643669722.0071518,6000000,-24.369049072265625
1643669885.7947848,6050000,-23.656036376953125
1643670054.8752844,6100000,-20.80841636657715
1643670228.8491957,6150000,-22.2239990234375
1643670395.066723,6200000,-24.511178970336914
1643670565.3425236,6250000,-23.94266700744629
1643670730.809059,6300000,-28.23796272277832
1643670898.7338803,6350000,-29.388593673706055
1643671059.2395816,6400000,-24.42820930480957
1643671228.8576963,6450000,-24.723220825195312
1643671397.157408,6500000,-27.92195701599121
1643671561.129636,6550000,-27.298826217651367
1643671728.708767,6600000,-22.763181686401367
1643671892.6042256,6650000,-24.534408569335938
1643672060.8021889,6700000,-23.30141258239746
1643672225.31633,6750000,-25.531984329223633
1643672384.2072642,6800000,-27.623926162719727
1643672553.5982053,6850000,-26.32168960571289
1643672721.88769,6900000,-25.667884826660156
1643672893.220323,6950000,-24.785768508911133
1643673059.8535964,7000000,-22.446704864501953
1643673227.0439599,7050000,-22.012203216552734
1643673393.0605483,7100000,-22.77638053894043
1643673553.89519,7150000,-23.322912216186523
1643673718.9208333,7200000,-23.752599716186523
1643673889.1861515,7250000,-22.334714889526367
